,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
2013-14,NBA,Michael Carter-Williams,(V),22,PHI,70,34.5,16.7,6.2,6.3,1.9,0.6,.405,.264,.703,1.3,.026,cartemi01
2012-13,NBA,Damian Lillard,(V),22,POR,82,38.6,19.0,3.1,6.5,0.9,0.2,.429,.368,.844,5.8,.088,lillada01
2011-12,NBA,Kyrie Irving,(V),19,CLE,51,30.5,18.5,3.7,5.4,1.1,0.4,.469,.399,.872,4.1,.125,irvinky01
2010-11,NBA,Blake Griffin,(V),21,LAC,82,38.0,22.5,12.1,3.8,0.8,0.5,.506,.292,.642,9.8,.152,griffbl01
2009-10,NBA,Tyreke Evans,(V),20,SAC,72,37.2,20.1,5.3,5.8,1.5,0.4,.458,.255,.748,5.4,.097,evansty01
2008-09,NBA,Derrick Rose,(V),20,CHI,81,37.0,16.8,3.9,6.3,0.8,0.2,.475,.222,.788,4.9,.078,rosede01
2007-08,NBA,Kevin Durant,(V),19,SEA,80,34.6,20.3,4.4,2.4,1.0,0.9,.430,.288,.873,2.3,.040,duranke01
2006-07,NBA,Brandon Roy,(V),22,POR,57,35.4,16.8,4.4,4.0,1.2,0.2,.456,.377,.838,4.8,.114,roybr01
2005-06,NBA,Chris Paul,(V),20,NOK,78,36.0,16.1,5.1,7.8,2.2,0.1,.430,.282,.847,10.4,.178,paulch01
2004-05,NBA,Emeka Okafor,(V),22,CHA,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074,okafoem01
2003-04,NBA,LeBron James,(V),19,CLE,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078,jamesle01
2002-03,NBA,Amar'e Stoudemire,(V),20,PHO,82,31.3,13.5,8.8,1.0,0.8,1.1,.472,.200,.661,6.2,.116,stoudam01
2001-02,NBA,Pau Gasol,(V),21,MEM,82,36.7,17.6,8.9,2.7,0.5,2.1,.518,.200,.709,7.6,.121,gasolpa01
2000-01,NBA,Mike Miller,(V),20,ORL,82,29.1,11.9,4.0,1.7,0.6,0.2,.436,.407,.711,5.3,.106,millemi01
1999-00,NBA,Steve Francis (Tie),(V),22,HOU,77,36.1,18.0,5.3,6.6,1.5,0.4,.445,.345,.786,6.4,.111,francst01
1999-00,NBA,Elton Brand (Tie),(V),20,CHI,81,37.0,20.1,10.0,1.9,0.8,1.6,.482,.000,.685,7.5,.121,brandel01
1998-99,NBA,Vince Carter,(V),22,TOR,50,35.2,18.3,5.7,3.0,1.1,1.5,.450,.288,.761,5.0,.136,cartevi01
1997-98,NBA,Tim Duncan,(V),21,SAS,82,39.1,21.1,11.9,2.7,0.7,2.5,.549,.000,.662,12.8,.192,duncati01
1996-97,NBA,Allen Iverson,(V),21,PHI,76,40.1,23.5,4.1,7.5,2.1,0.3,.416,.341,.702,4.1,.065,iversal01
1995-96,NBA,Damon Stoudamire,(V),22,TOR,70,40.9,19.0,4.0,9.3,1.4,0.3,.426,.395,.797,4.3,.072,stoudda01
1994-95,NBA,Jason Kidd (Tie),(V),21,DAL,79,33.8,11.7,5.4,7.7,1.9,0.3,.385,.272,.698,3.7,.066,kiddja01
1994-95,NBA,Grant Hill (Tie),(V),22,DET,70,38.3,19.9,6.4,5.0,1.8,0.9,.477,.148,.732,5.4,.097,hillgr01
1993-94,NBA,Chris Webber,(V),20,GSW,76,32.1,17.5,9.1,3.6,1.2,2.2,.552,.000,.532,7.8,.154,webbech01
1992-93,NBA,Shaquille O'Neal,(V),20,ORL,81,37.9,23.4,13.9,1.9,0.7,3.5,.562,.000,.592,10.4,.163,onealsh01
1991-92,NBA,Larry Johnson,(V),22,CHH,82,37.2,19.2,11.0,3.6,1.0,0.6,.490,.227,.829,8.9,.140,johnsla02
1990-91,NBA,Derrick Coleman,(V),23,NJN,74,35.2,18.4,10.3,2.2,1.0,1.3,.467,.342,.731,5.8,.108,colemde01
1989-90,NBA,David Robinson,(V),24,SAS,82,36.6,24.3,12.0,2.0,1.7,3.9,.531,.000,.732,15.1,.241,robinda01
1988-89,NBA,Mitch Richmond,(V),23,GSW,79,34.4,22.0,5.9,4.2,1.0,0.2,.468,.367,.810,5.6,.098,richmmi01
1987-88,NBA,Mark Jackson,(V),22,NYK,82,39.6,13.6,4.8,10.6,2.5,0.1,.432,.254,.774,7.6,.113,jacksma01
1986-87,NBA,Chuck Person,(V),22,IND,82,36.0,18.8,8.3,3.6,1.1,0.2,.468,.355,.747,5.4,.088,persoch01
1985-86,NBA,Patrick Ewing,(V),23,NYK,50,35.4,20.0,9.0,2.0,1.1,2.1,.474,.000,.739,3.1,.084,ewingpa01
1984-85,NBA,Michael Jordan,(V),21,CHI,82,38.3,28.2,6.5,5.9,2.4,0.8,.515,.173,.845,14.0,.213,jordami01
1983-84,NBA,Ralph Sampson,(V),23,HOU,82,32.8,21.0,11.1,2.0,0.9,2.4,.523,.250,.661,6.0,.108,sampsra01
1982-83,NBA,Terry Cummings,(V),21,SDC,70,36.2,23.7,10.6,2.5,1.8,0.9,.523,.000,.709,8.7,.164,cummite01
1981-82,NBA,Buck Williams,(V),21,NJN,82,34.5,15.5,12.3,1.3,1.0,1.0,.582,.000,.624,8.9,.152,willibu01
1980-81,NBA,Darrell Griffith,(V),22,UTA,81,35.4,20.6,3.6,2.4,1.3,0.5,.464,.192,.716,0.4,.006,griffda01
1979-80,NBA,Larry Bird,(V),23,BOS,82,36.0,21.3,10.4,4.5,1.7,0.6,.474,.406,.836,11.2,.182,birdla01
1978-79,NBA,Phil Ford,(V),22,KCK,79,34.5,15.9,2.3,8.6,2.2,0.1,.465,,.813,5.7,.101,fordph01
1977-78,NBA,Walter Davis,(V),23,PHO,81,32.0,24.2,6.0,3.4,1.4,0.2,.526,,.830,10.1,.187,daviswa03
1976-77,NBA,Adrian Dantley,(V),21,BUF,77,36.6,20.3,7.6,1.9,1.2,0.2,.520,,.818,9.8,.167,dantlad01
1975-76,NBA,Alvan Adams,(V),21,PHO,80,33.2,19.0,9.1,5.6,1.5,1.5,.469,,.735,7.2,.130,adamsal01
1974-75,NBA,Jamaal Wilkes,(V),21,GSW,82,30.7,14.2,8.2,2.2,1.3,0.3,.442,,.734,5.1,.097,wilkeja01
1973-74,NBA,Ernie DiGregorio,(V),23,BUF,81,35.9,15.2,2.7,8.2,0.7,0.1,.421,,.902,1.2,.021,digreer01
1972-73,NBA,Bob McAdoo,(V),21,BUF,80,32.0,18.0,9.1,1.7,,,.452,,.774,3.8,.071,mcadobo01
1971-72,NBA,Sidney Wicks,(V),22,POR,82,39.6,24.5,11.5,4.3,,,.427,,.710,2.3,.034,wickssi01
1970-71,NBA,Geoff Petrie (Tie),(V),22,POR,82,37.0,24.8,3.4,4.8,,,.443,,.772,6.2,.099,petrige01
1970-71,NBA,Dave Cowens (Tie),(V),22,BOS,81,38.0,17.0,15.0,2.8,,,.422,,.732,6.4,.100,cowenda01
1969-70,NBA,Kareem Abdul-Jabbar,(V),22,MIL,82,43.1,28.8,14.5,4.1,,,.518,,.653,13.8,.187,abdulka01
1968-69,NBA,Wes Unseld,(V),22,BAL,82,36.2,13.8,18.2,2.6,,,.476,,.605,10.8,.175,unselwe01
1967-68,NBA,Earl Monroe,(V),23,BAL,82,36.7,24.3,5.7,4.3,,,.453,,.781,9.3,.148,monroea01
1966-67,NBA,Dave Bing,(V),23,DET,80,34.5,20.0,4.5,4.1,,,.436,,.738,5.3,.092,bingda01
1965-66,NBA,Rick Barry,(V),21,SFW,80,37.4,25.7,10.6,2.2,,,.439,,.862,10.4,.167,barryri01
1964-65,NBA,Willis Reed,(V),22,NYK,80,38.0,19.5,14.7,1.7,,,.432,,.742,5.5,.087,reedwi01
1963-64,NBA,Jerry Lucas,(V),23,CIN,79,41.4,17.7,17.4,2.6,,,.527,,.779,12.7,.187,lucasje01
1962-63,NBA,Terry Dischinger,,22,CHZ,57,40.2,25.5,8.0,3.1,,,.512,,.770,9.2,.192,dischte01
1961-62,NBA,Walt Bellamy,,22,CHP,79,42.3,31.6,19.0,2.7,,,.519,,.644,16.3,.233,bellawa01
1960-61,NBA,Oscar Robertson,,22,CIN,71,42.7,30.5,10.1,9.7,,,.473,,.822,13.2,.210,roberos01
1959-60,NBA,Wilt Chamberlain,,23,PHW,72,46.4,37.6,27.0,2.3,,,.461,,.582,17.0,.245,chambwi01
1958-59,NBA,Elgin Baylor,(V),24,MNL,70,40.8,24.9,15.0,4.1,,,.408,,.777,9.8,.165,bayloel01
1957-58,NBA,Woody Sauldsberry,,23,PHW,71,33.5,12.8,10.3,0.8,,,.360,,.615,0.3,.007,sauldwo01
1956-57,NBA,Tom Heinsohn,,22,BOS,72,29.9,16.2,9.8,1.6,,,.397,,.790,7.1,.160,heinsto01
1955-56,NBA,Maurice Stokes,,22,ROC,67,34.7,16.8,16.3,4.9,,,.354,,.714,6.0,.125,stokema01
1954-55,NBA,Bob Pettit,,22,MLH,72,36.9,20.4,13.8,3.2,,,.407,,.751,10.7,.194,pettibo01
1953-54,NBA,Ray Felix,,23,BLB,72,37.1,17.6,13.3,1.1,,,.417,,.638,8.6,.155,felixra01
1952-53,NBA,Monk Meineke,,22,FTW,68,33.1,10.7,6.9,2.2,,,.381,,.783,6.1,.130,meinemo01
1951-52,NBA,Mel Hutchins (Tie) *,,23,MLH,66,39.7,9.2,13.3,2.9,,,.365,,.644,3.8,.069,hutchme01
1951-52,NBA,Bill Tosheff (Tie) *,,25,INO,65,31.6,9.4,3.3,3.4,,,.327,,.824,2.9,.068,toshebi01
1950-51,NBA,Paul Arizin *,,22,PHW,65,,17.2,9.8,2.1,,,.407,,.793,13.7,,arizipa01
1949-50,NBA,Alex Groza *,,23,INO,64,,23.4,,2.5,,,.478,,.729,17.9,,grozaal01
1948-49,BAA,Howie Shannon *,,25,PRO,55,,13.4,,2.3,,,.364,,.804,3.4,,shannho01
1947-48,BAA,Paul Hoffman *,,22,BLB,37,,10.5,,0.6,,,.348,,.662,4.7,,hoffmpa01
