player,age,team,pos,g,gs,mp,fg,fga,fg_pct,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
Kyle Kuzma,29.0,WAS,PF,32.0,30.0,27.7,6.0,14.2,0.42,1.4,5.0,0.281,4.6,9.2,0.495,0.469,1.8,3.1,0.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,kuzmaky01
Kyle Kuzma,29.0,MIL,PF,33.0,32.0,31.8,5.4,11.9,0.455,1.5,4.6,0.333,3.9,7.3,0.533,0.52,2.1,3.2,0.663,0.8,4.8,5.6,2.2,0.5,0.4,2.2,2.0,14.5,kuzmaky01
Stephon Castle,20.0,SAS,PG,81.0,47.0,26.7,5.2,12.2,0.428,1.2,4.1,0.285,4.0,8.1,0.501,0.476,3.1,4.2,0.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7,castlst01
Aaron Gordon,29.0,DEN,PF,51.0,42.0,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,gordoaa01
P.J. Washington,26.0,DAL,PF,57.0,56.0,32.2,5.3,11.7,0.453,1.6,4.2,0.381,3.7,7.5,0.493,0.521,2.5,3.5,0.722,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,14.7,washipj01
Quentin Grimes,24.0,2TM,SG,75.0,37.0,26.8,5.1,11.0,0.467,2.2,5.6,0.385,3.0,5.4,0.552,0.565,2.2,2.9,0.757,0.8,3.5,4.3,3.0,1.0,0.3,1.9,1.8,14.6,grimequ01
Quentin Grimes,24.0,DAL,SG,47.0,12.0,22.8,3.6,7.8,0.463,1.7,4.3,0.398,1.9,3.5,0.543,0.573,1.3,1.7,0.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,grimequ01
Quentin Grimes,24.0,PHI,SG,28.0,25.0,33.7,7.7,16.4,0.469,2.9,7.9,0.373,4.8,8.5,0.559,0.559,3.6,4.8,0.752,1.0,4.1,5.2,4.5,1.5,0.4,2.9,2.1,21.9,grimequ01
Josh Giddey,22.0,CHI,PG,70.0,69.0,30.2,5.3,11.4,0.465,1.5,4.0,0.378,3.8,7.4,0.512,0.531,2.5,3.2,0.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,giddejo01
Jakob Poeltl,29.0,TOR,C,57.0,56.0,29.6,6.4,10.2,0.627,0.0,0.1,0.333,6.4,10.1,0.628,0.628,1.7,2.5,0.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,poeltja01
Deandre Ayton,26.0,POR,C,40.0,40.0,30.2,6.6,11.7,0.566,0.2,0.8,0.188,6.5,10.9,0.594,0.573,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,aytonde01
Gradey Dick,21.0,TOR,SG,54.0,54.0,29.4,4.9,12.0,0.41,2.1,6.0,0.35,2.8,5.9,0.47,0.498,2.5,2.9,0.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,dickgr01
Jerami Grant,30.0,POR,PF,47.0,47.0,32.4,4.6,12.2,0.373,2.3,6.3,0.365,2.3,5.9,0.381,0.467,3.0,3.5,0.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,grantje01
Payton Pritchard,27.0,BOS,PG,80.0,3.0,28.4,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3.0,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,pritcpa01
Naz Reid,25.0,MIN,C,80.0,17.0,27.5,5.3,11.5,0.462,2.2,5.8,0.379,3.1,5.8,0.544,0.556,1.4,1.8,0.776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2,reidna01
Dyson Daniels,21.0,ATL,SG,76.0,76.0,33.8,6.0,12.1,0.493,1.1,3.1,0.34,4.9,9.1,0.545,0.536,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,daniedy01
Tre Mann,23.0,CHO,PG,13.0,0.0,24.5,5.4,12.4,0.435,1.8,4.6,0.4,3.5,7.8,0.455,0.509,1.5,1.6,0.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,manntr01
Amen Thompson,22.0,HOU,SF,69.0,42.0,32.2,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,0.575,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,thompam01
Fred VanVleet,30.0,HOU,PG,60.0,60.0,35.2,4.8,12.7,0.378,2.7,7.7,0.345,2.1,5.0,0.43,0.483,1.9,2.3,0.81,0.5,3.2,3.7,5.6,1.6,0.4,1.5,2.3,14.1,vanvlfr01
Dillon Brooks,29.0,HOU,SF,75.0,75.0,31.8,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.7,0.465,0.533,1.3,1.6,0.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,brookdi01
Tolu Smith,24.0,DET,PF,1.0,0.0,22.0,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,2.0,3.0,0.667,4.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,14.0,smithto05
Klay Thompson,34.0,DAL,SF,72.0,72.0,27.3,5.0,12.2,0.412,3.0,7.7,0.391,2.0,4.5,0.448,0.535,0.9,1.0,0.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0,thompkl01
Bobby Portis,29.0,MIL,PF,49.0,7.0,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,portibo01
Tobias Harris,32.0,DET,PF,73.0,73.0,31.6,5.3,11.0,0.477,1.2,3.6,0.345,4.0,7.4,0.542,0.534,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,harrito02
Josh Hart,29.0,NYK,SG,77.0,77.0,37.6,5.2,10.0,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,hartjo01
Jarrett Allen,26.0,CLE,C,82.0,82.0,28.0,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,allenja01
Onyeka Okongwu,24.0,ATL,C,74.0,40.0,27.9,5.2,9.2,0.567,0.6,2.0,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,okongon01
Russell Westbrook,36.0,DEN,PG,75.0,36.0,27.9,5.0,11.1,0.449,1.3,3.9,0.323,3.7,7.2,0.517,0.505,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,westbru01
Naji Marshall,27.0,DAL,SF,69.0,31.0,27.8,5.2,10.3,0.508,0.9,3.2,0.275,4.4,7.2,0.611,0.551,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2,marshna01
Dennis Schröder,31.0,3TM,PG,75.0,49.0,28.1,4.5,11.0,0.406,1.7,4.9,0.342,2.8,6.1,0.458,0.483,2.4,2.9,0.838,0.4,2.3,2.6,5.4,0.9,0.2,1.9,2.4,13.1,schrode01
Dennis Schröder,31.0,BRK,PG,23.0,23.0,33.6,6.4,14.1,0.452,2.5,6.5,0.387,3.9,7.6,0.509,0.542,3.1,3.5,0.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,schrode01
Dennis Schröder,31.0,GSW,SG,24.0,18.0,26.2,3.9,10.5,0.375,1.5,4.8,0.322,2.4,5.7,0.419,0.448,1.2,1.6,0.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,schrode01
Dennis Schröder,31.0,DET,PG,28.0,8.0,25.2,3.4,9.0,0.378,1.1,3.8,0.302,2.3,5.2,0.434,0.442,2.9,3.4,0.833,0.5,2.2,2.6,5.3,0.5,0.2,1.3,2.0,10.8,schrode01
Rui Hachimura,26.0,LAL,PF,59.0,57.0,31.7,5.0,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5.0,1.4,0.8,0.4,0.8,1.8,13.1,hachiru01
Brook Lopez,36.0,MIL,C,80.0,80.0,31.8,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5.0,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,lopezbr01
Alex Sarr,19.0,WAS,C,67.0,67.0,27.1,4.9,12.4,0.394,1.6,5.1,0.308,3.3,7.3,0.454,0.457,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13.0,sarral01
Moritz Wagner,27.0,ORL,C,30.0,1.0,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,wagnemo01
Malcolm Brogdon,32.0,WAS,PG,24.0,13.0,23.5,4.3,10.0,0.433,0.7,2.3,0.286,3.7,7.7,0.478,0.467,3.4,3.8,0.88,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,brogdma01
Scoot Henderson,20.0,POR,PG,66.0,10.0,26.7,4.3,10.4,0.419,1.6,4.5,0.354,2.8,5.9,0.469,0.496,2.4,3.1,0.767,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,12.7,hendesc01
Keldon Johnson,25.0,SAS,SF,77.0,0.0,23.9,4.8,10.0,0.482,1.1,3.6,0.318,3.7,6.4,0.573,0.538,1.9,2.5,0.773,1.5,3.4,4.8,1.6,0.6,0.3,1.0,1.5,12.7,johnske04
D'Angelo Russell,28.0,2TM,PG,58.0,36.0,25.5,4.3,11.0,0.39,1.9,6.2,0.314,2.3,4.8,0.489,0.479,2.1,2.5,0.834,0.3,2.4,2.8,5.1,1.0,0.4,1.9,2.0,12.6,russeda01
D'Angelo Russell,28.0,LAL,PG,29.0,10.0,26.3,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,russeda01
D'Angelo Russell,28.0,BRK,PG,29.0,26.0,24.7,4.1,11.3,0.367,2.0,6.6,0.297,2.2,4.7,0.467,0.454,2.6,3.2,0.826,0.4,2.4,2.8,5.6,1.1,0.7,2.0,2.1,12.9,russeda01
Zaccharie Risacher,19.0,ATL,SF,75.0,73.0,24.6,4.8,10.4,0.458,1.6,4.6,0.355,3.1,5.8,0.54,0.537,1.4,2.0,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,12.6,risacza01
Santi Aldama,24.0,MEM,PF,65.0,16.0,25.5,4.8,10.0,0.483,1.8,5.0,0.368,3.0,5.0,0.599,0.576,1.0,1.4,0.691,1.4,5.0,6.4,2.9,0.8,0.4,1.1,1.2,12.5,aldamsa01
Ty Jerome,27.0,CLE,SG,70.0,3.0,19.9,4.6,8.8,0.516,1.6,3.6,0.439,3.0,5.2,0.57,0.606,1.8,2.1,0.872,0.7,1.8,2.5,3.4,1.1,0.0,1.3,1.5,12.5,jeromty01
Keegan Murray,24.0,SAC,PF,76.0,76.0,34.3,4.8,10.8,0.444,2.0,5.9,0.343,2.8,4.9,0.566,0.538,0.8,0.9,0.833,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,12.4,murrake02
Lonnie Walker IV,26.0,PHI,SG,20.0,7.0,23.9,4.5,10.6,0.42,2.3,6.4,0.354,2.2,4.3,0.518,0.526,1.2,1.5,0.8,0.3,2.9,3.2,2.5,0.5,0.3,1.3,1.4,12.4,walkelo01
Harrison Barnes,32.0,SAS,PF,82.0,82.0,27.2,4.2,8.3,0.508,1.9,4.4,0.433,2.3,3.9,0.591,0.622,2.0,2.4,0.809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,12.3,barneha02
Bilal Coulibaly,20.0,WAS,SF,59.0,59.0,33.0,4.5,10.6,0.421,1.1,3.8,0.281,3.4,6.8,0.5,0.472,2.3,3.1,0.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3,coulibi01
Ayo Dosunmu,25.0,CHI,SG,46.0,26.0,30.3,4.8,9.8,0.492,1.3,4.1,0.328,3.5,5.7,0.612,0.561,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,dosunay01
Daniel Gafford,26.0,DAL,C,57.0,31.0,21.5,5.0,7.1,0.702,0.0,0.0,,5.0,7.1,0.702,0.702,2.4,3.4,0.689,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.3,gaffoda01
Jaden McDaniels,24.0,MIN,PF,82.0,82.0,31.9,4.9,10.2,0.477,1.2,3.7,0.33,3.6,6.5,0.561,0.537,1.3,1.6,0.813,1.6,4.2,5.7,2.0,1.3,0.9,1.2,2.7,12.2,mcdanja02
Jabari Smith Jr.,21.0,HOU,PF,57.0,39.0,30.1,4.4,9.9,0.438,1.7,4.9,0.354,2.6,5.1,0.519,0.525,1.8,2.2,0.825,1.8,5.2,7.0,1.1,0.4,0.7,1.1,2.2,12.2,smithja05
Caris LeVert,30.0,2TM,SG,64.0,3.0,24.9,4.4,9.4,0.467,1.7,4.4,0.373,2.7,4.9,0.552,0.556,1.7,2.4,0.71,0.6,2.5,3.2,3.4,0.9,0.5,1.2,1.5,12.1,leverca01
Caris LeVert,30.0,CLE,SF,38.0,3.0,23.8,3.6,7.8,0.453,1.6,3.9,0.405,2.0,3.9,0.5,0.554,1.5,2.2,0.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,leverca01
Caris LeVert,30.0,ATL,SG,26.0,0.0,26.6,5.6,11.6,0.482,1.8,5.2,0.338,3.8,6.3,0.6,0.558,2.0,2.8,0.722,0.7,3.0,3.7,2.9,0.9,0.5,1.0,2.0,14.9,leverca01
Drew Timme,24.0,BRK,PF,9.0,2.0,28.2,5.0,11.3,0.441,1.0,3.9,0.257,4.0,7.4,0.537,0.485,1.1,1.8,0.625,1.9,5.3,7.2,2.2,0.4,0.1,1.7,2.3,12.1,timmedr01
Tari Eason,23.0,HOU,PF,57.0,16.0,24.9,4.8,9.8,0.487,1.1,3.2,0.342,3.7,6.6,0.557,0.543,1.4,1.8,0.76,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,12.0,easonta01
Rudy Gobert,32.0,MIN,C,72.0,72.0,33.2,4.7,7.1,0.669,0.0,0.0,,4.7,7.1,0.669,0.669,2.6,3.8,0.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12.0,goberru01
Aaron Nesmith,25.0,IND,SF,45.0,37.0,25.0,4.3,8.4,0.507,1.9,4.3,0.431,2.4,4.1,0.587,0.617,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0,nesmiaa01
Aaron Wiggins,26.0,OKC,SG,76.0,26.0,22.9,4.7,9.6,0.488,1.7,4.5,0.383,3.0,5.1,0.578,0.577,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,wiggiaa01
Khris Middleton,33.0,2TM,SF,37.0,21.0,22.8,4.3,9.1,0.475,1.3,3.6,0.361,3.0,5.5,0.549,0.546,1.9,2.3,0.857,0.4,3.4,3.7,4.1,0.9,0.2,1.5,2.0,11.9,middlkh01
Khris Middleton,33.0,MIL,SF,23.0,7.0,23.2,4.7,9.2,0.512,1.5,3.7,0.407,3.2,5.4,0.584,0.595,1.7,2.0,0.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6,middlkh01
Khris Middleton,33.0,WAS,SF,14.0,14.0,22.1,3.7,9.0,0.413,0.9,3.4,0.277,2.8,5.6,0.494,0.464,2.4,2.7,0.868,0.6,3.1,3.7,3.4,1.3,0.2,1.4,1.6,10.7,middlkh01
Jalen Duren,21.0,DET,C,78.0,78.0,26.1,4.8,7.0,0.692,0.0,0.0,,4.8,7.0,0.692,0.692,2.1,3.1,0.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8,durenja01
Donte DiVincenzo,28.0,MIN,SG,62.0,10.0,25.9,4.0,9.6,0.422,2.8,7.1,0.397,1.2,2.5,0.49,0.568,0.8,1.0,0.778,0.5,3.2,3.7,3.6,1.2,0.3,1.6,1.8,11.7,divindo01
Brandin Podziemski,21.0,GSW,SG,64.0,33.0,26.8,4.4,9.8,0.445,1.8,4.8,0.372,2.6,5.0,0.516,0.537,1.1,1.5,0.758,1.0,4.1,5.1,3.4,1.1,0.2,1.2,1.5,11.7,podzibr01
Corey Kispert,25.0,WAS,SF,61.0,0.0,26.3,4.2,9.3,0.451,2.0,5.4,0.364,2.2,3.9,0.574,0.558,1.2,1.4,0.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,1.6,11.6,kispeco01
Jeremy Sochan,21.0,SAS,PF,54.0,23.0,25.3,4.6,8.7,0.535,0.5,1.7,0.308,4.1,7.0,0.59,0.565,1.6,2.3,0.696,2.4,4.2,6.5,2.4,0.8,0.5,1.6,2.4,11.4,sochaje01
Toumani Camara,24.0,POR,PF,78.0,78.0,32.7,4.2,9.2,0.458,1.7,4.6,0.375,2.5,4.6,0.542,0.552,1.2,1.6,0.722,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,11.3,camarto01
Isaiah Hartenstein,26.0,OKC,C,57.0,53.0,27.9,4.9,8.4,0.581,0.0,0.3,0.0,4.9,8.1,0.605,0.581,1.4,2.1,0.675,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3.0,11.2,harteis01
Buddy Hield,32.0,GSW,SG,82.0,22.0,22.7,4.0,9.6,0.417,2.5,6.7,0.37,1.5,2.9,0.527,0.546,0.6,0.8,0.828,0.6,2.6,3.2,1.6,0.8,0.3,1.1,1.6,11.1,hieldbu01
Jrue Holiday,34.0,BOS,PG,62.0,62.0,30.6,4.1,9.2,0.443,1.7,4.9,0.353,2.4,4.3,0.547,0.538,1.1,1.2,0.909,1.2,3.0,4.3,3.9,1.1,0.4,1.2,1.6,11.1,holidjr01
Walker Kessler,23.0,UTA,C,58.0,58.0,30.0,4.8,7.2,0.663,0.1,0.6,0.176,4.7,6.6,0.706,0.671,1.4,2.6,0.52,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,11.1,kesslwa01
Gary Trent Jr.,26.0,MIL,SG,74.0,9.0,25.6,3.8,8.9,0.431,2.4,5.9,0.416,1.4,3.0,0.46,0.568,1.1,1.2,0.848,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,11.1,trentga02
Spencer Dinwiddie,31.0,DAL,PG,79.0,30.0,27.0,3.6,8.6,0.416,1.4,4.1,0.334,2.2,4.5,0.492,0.496,2.5,3.1,0.802,0.2,2.4,2.6,4.4,0.9,0.2,1.3,1.5,11.0,dinwisp01
Tim Hardaway Jr.,32.0,DET,SG,77.0,77.0,28.0,3.6,8.8,0.406,2.2,5.9,0.368,1.4,2.9,0.484,0.529,1.6,1.9,0.855,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,11.0,hardati02
Duncan Robinson,30.0,MIA,SF,74.0,37.0,24.1,3.9,9.0,0.437,2.6,6.5,0.393,1.4,2.4,0.556,0.581,0.6,0.7,0.887,0.2,2.0,2.3,2.4,0.5,0.1,1.2,1.8,11.0,robindu01
Guerschon Yabusele,29.0,PHI,C,70.0,43.0,27.1,4.0,8.0,0.501,1.5,3.9,0.38,2.5,4.1,0.616,0.593,1.4,2.0,0.725,1.9,3.7,5.6,2.1,0.8,0.3,1.2,2.3,11.0,yabusgu01
Brice Sensabaugh,21.0,UTA,SF,71.0,15.0,20.2,3.9,8.4,0.459,2.2,5.2,0.422,1.7,3.2,0.52,0.59,0.9,1.0,0.89,0.6,2.4,3.0,1.5,0.6,0.1,1.5,1.6,10.9,sensabr01
Bogdan Bogdanović,32.0,2TM,SG,54.0,4.0,25.0,3.9,9.1,0.427,1.9,5.4,0.363,1.9,3.8,0.517,0.534,1.1,1.2,0.879,0.4,2.5,2.9,2.7,0.8,0.2,1.4,2.4,10.8,bogdabo01
Bogdan Bogdanović,32.0,ATL,SG,24.0,0.0,24.9,3.5,9.3,0.371,1.8,6.1,0.301,1.6,3.3,0.5,0.469,1.3,1.4,0.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,bogdabo01
Bogdan Bogdanović,32.0,LAC,SG,30.0,4.0,25.0,4.2,8.9,0.474,2.0,4.8,0.427,2.2,4.2,0.528,0.588,0.9,1.1,0.875,0.4,2.7,3.1,3.2,0.7,0.2,1.2,2.3,11.4,bogdabo01
Jordan Hawkins,22.0,NOP,SG,56.0,9.0,23.6,3.7,9.9,0.372,2.0,5.9,0.331,1.7,4.0,0.433,0.471,1.4,1.8,0.816,0.4,2.4,2.8,1.2,0.5,0.4,1.0,0.9,10.8,hawkijo01
Brandon Boston Jr.,23.0,NOP,SG,42.0,10.0,23.6,4.0,9.1,0.436,1.2,3.3,0.35,2.8,5.7,0.485,0.5,1.6,2.0,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,bostobr01
Nikola Jović,21.0,MIA,PF,46.0,10.0,25.1,3.7,8.2,0.456,1.7,4.6,0.371,2.0,3.6,0.563,0.56,1.6,1.9,0.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7,jovicni01
Grayson Allen,29.0,PHO,SG,64.0,7.0,24.1,3.4,7.6,0.448,2.3,5.5,0.426,1.1,2.2,0.504,0.6,1.5,1.8,0.816,0.5,2.5,3.0,2.1,0.8,0.3,1.2,1.5,10.6,allengr01
Keon Johnson,22.0,BRK,SG,79.0,56.0,24.4,3.8,9.9,0.389,1.6,5.1,0.314,2.2,4.8,0.468,0.47,1.4,1.8,0.77,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,10.6,johnske07
Terry Rozier,30.0,MIA,PG,64.0,23.0,25.9,3.9,9.9,0.391,1.4,4.8,0.295,2.5,5.1,0.48,0.462,1.4,1.7,0.852,0.7,3.0,3.7,2.6,0.6,0.2,1.2,1.1,10.6,roziete01
Obi Toppin,26.0,IND,PF,79.0,4.0,19.6,4.0,7.6,0.529,1.4,3.8,0.365,2.6,3.8,0.695,0.621,1.1,1.4,0.781,0.7,3.3,4.0,1.6,0.6,0.4,0.9,1.4,10.5,toppiob01
Jonas Valančiūnas,32.0,2TM,C,81.0,21.0,18.8,4.3,7.7,0.55,0.1,0.5,0.216,4.2,7.3,0.571,0.557,1.8,2.0,0.879,2.3,5.4,7.7,2.0,0.5,0.6,1.5,2.2,10.4,valanjo01
Jonas Valančiūnas,32.0,WAS,C,49.0,12.0,20.1,4.7,8.6,0.547,0.1,0.6,0.259,4.6,8.1,0.567,0.556,1.9,2.2,0.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,11.5,valanjo01
Jonas Valančiūnas,32.0,SAC,C,32.0,9.0,16.9,3.6,6.4,0.556,0.0,0.3,0.1,3.5,6.1,0.579,0.559,1.6,1.8,0.847,2.2,4.8,7.0,1.8,0.5,0.6,1.0,2.6,8.7,valanjo01
Ochai Agbaji,24.0,TOR,SG,64.0,45.0,27.2,4.2,8.3,0.498,1.6,4.0,0.399,2.6,4.4,0.587,0.593,0.5,0.8,0.708,1.0,2.8,3.8,1.5,0.9,0.5,0.8,2.0,10.4,agbajoc01
Jaylen Wells,21.0,MEM,SG,79.0,74.0,25.9,3.6,8.6,0.425,1.7,5.0,0.352,1.9,3.6,0.525,0.527,1.4,1.7,0.822,1.1,2.3,3.4,1.7,0.6,0.1,0.9,1.8,10.4,wellsja01
Grant Williams,26.0,CHO,PF,16.0,7.0,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,willigr01
Kevin Porter Jr.,24.0,2TM,SG,75.0,4.0,19.8,3.9,8.7,0.449,0.7,2.4,0.311,3.2,6.3,0.501,0.492,1.7,2.3,0.769,0.6,3.1,3.7,3.4,1.1,0.2,1.8,1.6,10.3,porteke02
Kevin Porter Jr.,24.0,LAC,SG,45.0,2.0,19.6,3.8,9.0,0.423,0.6,2.4,0.245,3.2,6.7,0.485,0.455,1.1,1.7,0.645,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,9.3,porteke02
Kevin Porter Jr.,24.0,MIL,SG,30.0,2.0,19.9,4.0,8.2,0.494,1.0,2.4,0.408,3.1,5.8,0.529,0.553,2.7,3.1,0.871,0.4,3.5,3.9,3.7,1.3,0.1,1.7,1.6,11.7,porteke02
Jose Alvarado,26.0,NOP,PG,56.0,23.0,24.4,3.6,9.3,0.392,2.0,5.5,0.359,1.7,3.8,0.439,0.498,1.1,1.3,0.811,0.5,1.9,2.4,4.6,1.3,0.3,1.5,1.6,10.3,alvarjo01
Nic Claxton,25.0,BRK,C,70.0,62.0,26.9,4.6,8.1,0.563,0.1,0.3,0.238,4.5,7.8,0.576,0.568,1.1,2.2,0.513,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,10.3,claxtni01
Herbert Jones,26.0,NOP,SF,20.0,20.0,32.4,3.8,8.6,0.436,1.1,3.6,0.306,2.7,5.0,0.53,0.5,1.7,2.0,0.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,joneshe01
De'Anthony Melton,26.0,GSW,SG,6.0,2.0,20.2,3.7,9.0,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.528,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,meltode01
Isaiah Joe,25.0,OKC,SG,74.0,16.0,21.7,3.5,7.9,0.44,2.6,6.3,0.412,0.9,1.6,0.549,0.604,0.6,0.8,0.821,0.6,2.1,2.6,1.6,0.6,0.1,0.5,1.5,10.2,joeis01
Tyus Jones,28.0,PHO,PG,81.0,58.0,26.8,3.8,8.4,0.448,2.0,5.0,0.414,1.7,3.5,0.496,0.57,0.6,0.7,0.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2,jonesty01
Trendon Watford,24.0,BRK,PF,44.0,6.0,20.8,3.7,8.0,0.469,0.7,2.0,0.33,3.1,6.0,0.515,0.51,2.1,2.8,0.762,0.8,2.8,3.6,2.6,0.6,0.3,1.9,2.2,10.2,watfotr01
Keion Brooks Jr.,24.0,NOP,SF,14.0,6.0,23.7,3.8,7.8,0.486,1.0,3.1,0.326,2.8,4.7,0.591,0.55,1.6,2.1,0.733,0.9,3.3,4.1,0.9,0.7,0.7,0.9,2.1,10.1,brookke02
Luguentz Dort,25.0,OKC,SF,71.0,71.0,29.2,3.6,8.4,0.435,2.4,5.8,0.412,1.2,2.5,0.489,0.578,0.5,0.6,0.717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1,dortlu01
Justin Edwards,21.0,PHI,SF,44.0,26.0,26.3,3.9,8.6,0.455,1.6,4.3,0.363,2.3,4.3,0.548,0.546,0.7,1.0,0.696,1.0,2.3,3.4,1.6,1.0,0.4,1.1,2.2,10.1,edwarju01
